Column1,City,18 -24 Total Population,18-24 Less than high school graduate,18-24 High school graduate (includes equivalency),18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25+ Total Population,25+ Less than 9th grade,"25+ 9th to 12th grade, no diploma",25+ High school graduate (includes equivalency),"25+ Some college, no degree",25+ Associate's degree,25+ Bachelor's degree,25+ Graduate or professional degree,25+ High school graduate or higher,25+ Bachelor's degree or higher,25-34 Total Population,25-34 High school graduate or higher,25-34 Bachelor's degree or higher,35-44 Total Population,35-44 High school graduate or higher,35-44 Bachelor's degree or higher,45-64 Total Population,45-64 High school graduate or higher,45-64 Bachelor's degree or higher,65+ Total Population,65+ High school graduate or higher,65+ Bachelor's degree or higher,County
0,Alameda,3644,142,1754,1219,529,56820,1017,2134,6833,8758,3572,21549,12957,53669,34506,11547,11402,7892,12848,12454,8395,20195,19049,11800,12230,10764,6419,Alameda County
1,Berkeley,27072,597,7302,13263,5910,75318,1628,727,5372,9259,2835,24348,31149,72963,55497,21086,20709,17270,12683,12601,9555,23852,22520,16559,17697,17133,12113,Alameda County
2,Dublin,3276,47,1571,800,858,49204,1404,440,5109,5395,3614,18266,14976,47360,33242,9412,9126,6778,15913,15695,12199,16451,16280,11720,7428,6259,2545,Alameda County
3,Fremont,12766,823,3052,6375,2516,161130,4825,5271,23794,16229,8423,49371,53217,151034,102588,33362,32896,24130,41953,40750,31510,55643,52258,34353,30172,25130,12595,Alameda County
4,Hayward,11537,1622,4191,4958,766,114163,13795,7728,29291,19008,7825,25714,10802,92640,36516,27610,25871,12408,23371,19752,7857,40435,30236,11539,22747,16781,4712,Alameda County
5,Livermore,6572,575,2827,1926,1244,62087,2553,1849,10196,13681,6290,16615,10903,57685,27518,12102,11806,5992,10856,10188,6250,26462,24241,11602,12667,11450,3674,Alameda County
6,Oakland,31603,3920,11404,11245,5034,318281,34116,17799,48157,50674,18560,80386,68589,266366,148975,76536,66958,42920,70832,60320,36410,107772,88137,45102,63141,50951,24543,Alameda County
7,Pleasanton,5662,482,1594,2003,1583,56702,543,1336,5490,8930,4273,19297,16833,54823,36130,8359,8312,6342,10309,9988,7621,24551,23658,15779,13483,12865,6388,Alameda County
8,San Leandro,7514,600,3577,2238,1099,67147,6653,4456,15677,15772,4297,14015,6277,56038,20292,12761,12409,5494,12104,10195,4503,27556,22661,6893,14726,10773,3402,Alameda County
0,Antioch,9288,1275,3967,3532,514,76519,5819,3588,20395,18817,8418,14733,4749,67112,19482,14737,13755,3938,16513,14059,4146,29989,25753,7189,15280,13545,4209,Contra Costa County
1,Concord,8738,1510,2817,3717,694,89720,5400,4420,20152,19182,7830,23283,9453,79900,32736,17614,16472,7615,21685,18814,8309,29756,26257,10929,20665,18357,5883,Contra Costa County
2,Pittsburg,8707,1235,4026,2926,520,51908,7241,5470,12839,10670,4931,8407,2350,39197,10757,13517,12086,2897,9423,7101,2317,19788,13477,3310,9180,6533,2233,Contra Costa County
3,Richmond,8912,1289,3394,3364,865,81025,8228,5911,16570,16420,4534,16553,12809,66886,29362,18460,15795,6247,16606,13923,7688,27868,20940,8432,18091,16228,6995,Contra Costa County
4,San Ramon,4969,179,1628,2043,1119,56663,850,1170,5009,5840,4573,22941,16280,54643,39221,5833,5415,3469,15383,15095,12788,24661,23929,17472,10786,10204,5492,Contra Costa County
5,Walnut Creek,5053,857,1319,1380,1497,51851,633,765,5602,5810,2815,21268,14958,50453,36226,8248,7975,6334,8844,8783,6612,16272,15746,11704,18487,17949,11576,Contra Costa County
0,Belvedere,113,29,20,23,41,1643,0,6,103,131,42,692,669,1637,1361,120,120,105,208,208,169,725,725,636,590,584,451,Marin County
1,Corte Madera,718,25,129,352,212,6735,19,0,613,819,294,2568,2422,6716,4990,694,694,505,1118,1118,937,3138,3138,2382,1785,1766,1166,Marin County
2,Fairfax,570,127,230,148,65,5900,26,125,452,992,420,2232,1653,5749,3885,668,647,389,937,923,554,2489,2417,1813,1806,1762,1129,Marin County
3,Larkspur,590,41,127,332,90,10010,263,101,783,1202,517,3841,3303,9646,7144,1114,1105,950,1263,1226,1118,4447,4289,3013,3186,3026,2063,Marin County
4,Mill Valley,706,179,151,288,88,10520,50,77,791,1160,508,4140,3794,10393,7934,1037,1037,651,1732,1732,1400,4755,4732,3748,2996,2892,2135,Marin County
5,Novato,3574,359,1195,1403,617,39449,2147,1201,5911,8294,3558,11688,6650,36101,18338,4714,4381,2117,5851,5157,3058,16438,14817,7834,12446,11746,5329,Marin County
6,Ross,148,21,17,42,68,1625,14,0,50,156,41,694,670,1611,1364,61,61,61,273,259,259,676,676,581,615,615,463,Marin County
7,San Anselmo,760,143,163,212,242,8945,51,137,652,1106,533,3847,2619,8757,6466,945,863,603,1632,1632,1264,4092,3999,3262,2276,2263,1337,Marin County
8,San Rafael,4951,627,1352,2246,726,43941,4109,1864,4862,8200,2743,12954,9209,37968,22163,6227,5104,2532,8295,6473,4376,16953,14883,8629,12466,11508,6626,Marin County
9,Sausalito,272,10,0,103,159,6434,164,2,235,1044,428,2283,2278,6268,4561,996,866,738,714,714,610,2410,2391,1533,2314,2297,1680,Marin County
10,Tiburon,530,56,104,288,82,6720,23,50,328,835,271,2687,2526,6647,5213,341,341,234,1112,1068,897,3131,3108,2436,2136,2130,1646,Marin County
0,Napa,6609,722,1652,3758,477,55826,6908,2593,10262,10814,5436,12315,7498,46325,19813,9956,8984,3631,11276,8351,3890,20192,16381,6802,14402,12609,5490,Napa County
0,San Francisco,53294,2886,14517,17785,18106,647880,45588,24395,74318,75272,33727,224159,170421,577897,394580,164456,160053,133386,132607,124399,91750,208335,183658,110952,142482,109787,58492,San Francisco County
0,Daly City,10611,2053,2419,4003,2136,77014,4577,5271,17236,15690,6365,20592,7283,67166,27875,14234,13320,6752,13075,12056,5259,26919,23276,8772,22786,18514,7092,San Mateo County
1,Redwood City,5128,1117,751,1394,1866,60453,3698,2073,10672,8158,3108,16458,16286,54682,32744,15481,14563,9486,11213,10275,7114,23728,21084,13273,10031,8760,2871,San Mateo County
2,San Mateo,6594,903,1385,3312,994,75078,5971,2172,8931,9410,5109,23551,19934,66935,43485,18652,17161,12667,15088,12644,9541,24466,23065,14118,16872,14065,7159,San Mateo County
0,Milpitas,4728,470,1284,2163,811,57169,4105,2496,8130,6892,4274,18853,12419,50568,31272,13806,13251,9648,13846,12837,10228,18812,16426,8526,10705,8054,2870,Santa Clara County
1,Mountain View,4999,792,1288,1136,1783,59044,1635,1608,5232,4915,1738,17090,26826,55801,43916,17163,16697,14301,15875,14554,12226,16656,16202,12198,9350,8348,5191,Santa Clara County
3,San Jose,82826,5539,24466,38097,14724,691752,58090,39552,112460,112588,51995,182869,134198,594110,317067,150188,143443,82926,146317,126643,76451,257314,213402,110630,137933,110622,47060,Santa Clara County
4,Santa Clara,12165,402,2823,4811,4129,90840,2298,2838,8567,10318,6916,28145,31758,85704,59903,28460,27931,23836,19160,18968,15092,28732,26104,14661,14488,12701,6314,Santa Clara County
5,Sunnyvale,9641,902,1795,4001,2943,112990,4657,2855,12141,11607,5564,33669,42497,105478,76166,36332,35204,28159,21645,20346,16698,34330,32492,22161,20683,17436,9148,Santa Clara County
0,Fairfield,9705,1407,3550,4203,545,77589,5398,5083,18512,19658,7249,13861,7828,67108,21689,17233,15201,3088,17000,15270,5959,27275,23102,7370,16081,13535,5272,Solano County
1,Vacaville,9103,822,3080,4840,361,73268,2551,3991,18264,19776,9259,13771,5656,66726,19427,17738,16598,5448,13782,12011,3757,25915,24132,6345,15833,13985,3877,Solano County
2,Vallejo,11187,1649,4705,4498,335,88669,5820,4345,23332,22343,7880,16774,8175,78504,24949,16720,15130,4543,19239,16155,4963,28841,25640,7940,23869,21579,7503,Solano County
0,Santa Rosa,16144,2954,5679,6373,1138,125328,11953,7654,23425,27036,11302,28818,15140,105721,43958,23545,20564,7670,23936,18982,7257,45761,36946,14922,32086,29229,14109,Sonoma County
